City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,fort bragg,35.139,-79.006,26.57,86,100,5.36,US,1725243728
262,najran,17.4924,44.1277,25.84,30,30,1.36,SA,1725243728
263,dampit,-8.2116,112.7493,30.02,44,6,1.93,ID,1725243729
264,puerto leguizamo,-0.1934,-74.7819,23.74,85,70,1.1,CO,1725243729
265,menongue,-14.6585,17.691,14.76,35,13,3.86,AO,1725243729
266,mejit,10.2753,170.8646,28.51,75,0,3.34,MH,1725243729
267,brookings,44.3114,-96.7984,17.0,73,0,3.09,US,1725243544
268,aldinga beach,-35.2793,138.4604,14.81,51,25,8.34,AU,1725243729
269,kayyerkan,69.3786,87.7439,7.5,75,88,1.45,RU,1725243729
270,oelwein,42.6733,-91.9135,16.13,80,24,3.47,US,1725243455
271,severo-yeniseyskiy,60.3725,93.0408,4.61,82,95,1.37,RU,1725243729
272,mahavelona,-17.6848,49.5087,18.6,90,30,3.1,MG,1725243729
273,zvishavane,-20.3267,30.0665,9.43,44,0,0.7,ZW,1725243729
274,pizarro,4.9533,-77.366,25.2,92,100,1.77,CO,1725243730
275,mercedes,-34.6515,-59.4307,9.88,92,15,3.21,AR,1725243680
276,pangobilian,8.8011,117.8594,27.11,88,100,4.69,PH,1725243730
277,talnakh,69.4865,88.3972,8.01,71,58,1.53,RU,1725243730
278,taroa,8.7058,171.2275,28.94,71,14,4.48,MH,1725243730
279,satara,17.6833,73.9833,20.6,96,100,0.9,IN,1725243730
280,beau vallon,-20.4189,57.6953,21.13,73,40,4.63,MU,1725243730
281,berezovyy,51.6667,135.7,18.55,34,4,5.8,RU,1725243730
282,richards bay,-28.783,32.0377,19.41,83,66,5.94,ZA,1725243730
283,goulburn,-34.75,149.7167,11.55,42,53,4.02,AU,1725243730
284,broome,42.2506,-75.833,19.2,86,100,3.6,US,1725243730
285,imzouren,35.1463,-3.8497,24.6,20,20,0.0,MA,1725243730
286,spitak,40.8322,44.2673,10.53,70,0,1.74,AM,1725243730
287,new amsterdam,6.25,-57.5167,24.5,95,100,1.77,GY,1725243730
288,ivdel',60.6911,60.4206,15.37,78,89,4.41,RU,1725243674
289,wilmington island,32.0036,-80.9737,27.21,85,0,2.06,US,1725243731
290,fort st. john,56.2499,-120.8529,23.94,35,40,4.63,CA,1725243672
291,thai binh,20.45,106.3333,30.46,72,80,2.07,VN,1725243495
292,argo,37.6333,22.7333,23.2,61,12,1.78,GR,1725243731
293,moussoro,13.6408,16.4901,24.12,91,100,4.34,TD,1725243731
294,port alfred,-33.5906,26.891,15.97,73,90,1.01,ZA,1725243731
295,correntina,-13.3433,-44.6367,20.76,34,0,1.73,BR,1725243731
296,tual,-5.6667,132.75,26.26,82,90,8.98,ID,1725243731
297,cabo san lucas,22.8909,-109.9124,31.17,58,20,2.57,MX,1725243544
298,naryn,41.4287,75.9911,11.72,31,1,0.59,KG,1725243731
299,mount pearl,47.5166,-52.7813,17.96,93,75,7.2,CA,1725243731
300,sao gabriel da cachoeira,-0.1303,-67.0892,22.76,91,71,0.62,BR,1725243732
301,bandon,51.7469,-8.7425,14.77,97,100,2.35,IE,1725243732
302,bardai,11.65,7.2333,19.87,94,46,3.18,NG,1725243732
303,polyarnyy,69.1989,33.4478,12.03,87,100,2.35,RU,1725243732
304,tomatlan,19.9333,-105.25,25.82,91,95,0.12,MX,1725243732
305,akjoujt,19.6969,-14.4164,34.03,19,99,5.95,MR,1725243732
306,saint-flour,45.0833,3.0,11.06,95,2,0.59,FR,1725243732
307,kudahuvadhoo,2.6708,72.8944,28.52,74,92,3.33,MV,1725243732
308,dolores,-36.3132,-57.6792,8.23,91,21,2.22,AR,1725243512
309,apatity,67.5641,33.4031,9.44,93,93,1.35,RU,1725243732
310,port lincoln,-34.7333,135.8667,13.92,49,6,7.97,AU,1725243732
311,mount isa,-20.7333,139.5,36.87,13,0,3.6,AU,1725243732
312,souillac,-20.5167,57.5167,21.21,73,40,4.63,MU,1725243733
313,curup,-3.4667,102.5333,28.68,76,94,0.48,ID,1725243733
314,la ronge,55.1001,-105.2842,25.12,41,40,3.09,CA,1725243733
315,kodiak,57.79,-152.4072,13.73,77,100,4.12,US,1725243612
316,san antonio de pale,-1.4014,5.6325,23.74,88,100,6.0,GQ,1725243733
317,inarajan village,13.2736,144.7484,31.89,83,100,2.45,GU,1725243733
318,sangod,24.9167,76.2833,27.24,83,100,1.44,IN,1725243733
319,kizhinga,51.8462,109.9097,21.56,38,56,1.32,RU,1725243733
320,canutama,-6.5339,-64.3831,27.04,32,3,1.4,BR,1725243733
321,mogocha,53.7333,119.7667,19.93,38,8,3.21,RU,1725243733
322,bom jesus,-9.0744,-44.3586,20.78,46,5,0.98,BR,1725243733
323,san pedro,14.35,121.0167,23.57,97,100,7.72,PH,1725243733
324,cartagena del chaira,1.3349,-74.8429,23.26,82,100,0.92,CO,1725243733
325,teshi old town,5.5836,-0.1072,23.2,89,8,3.89,GH,1725243733
326,nguigmi,14.2495,13.1092,29.22,60,100,5.86,NE,1725243734
327,veinticinco de mayo,-35.4323,-60.1727,7.77,96,10,1.79,AR,1725243734
328,antsohihy,-14.8796,47.9875,17.8,71,1,2.31,MG,1725243734
329,at taj,24.2049,23.2857,31.84,32,100,5.02,LY,1725243734
330,zykovo,55.9519,93.1461,10.88,88,100,0.92,RU,1725243734
331,newman,37.3138,-121.0208,28.91,41,4,3.13,US,1725243734
332,grand falls-windsor,48.9332,-55.6649,15.73,91,100,4.5,CA,1725243734
333,kayangel,8.0823,134.7173,26.68,85,100,4.92,PW,1725243734
334,fasa,28.9383,53.6482,19.58,22,0,3.09,IR,1725243734
335,letterkenny,54.95,-7.7333,14.05,99,100,0.34,IE,1725243734
336,ust'-kut,56.7938,105.7672,14.84,85,97,1.56,RU,1725243734
337,kone,-21.0595,164.8658,30.86,34,2,2.82,NC,1725243734
338,kampong speu,11.5,104.3333,27.37,79,100,0.76,KH,1725243735
339,tatishchevo,51.6703,45.5953,12.65,56,11,3.87,RU,1725243735
340,kapuskasing,49.4169,-82.4331,8.05,87,100,2.57,CA,1725243541
341,cartagena,10.3997,-75.5144,28.79,74,40,1.54,CO,1725243688
342,tbilisskaya,45.3633,40.19,21.17,57,100,4.78,RU,1725243708
343,okhotsk,59.3833,143.3,12.67,91,100,2.57,RU,1725243735
344,mirny,62.5353,113.9611,13.77,82,94,0.49,RU,1725243735
345,puerto maldonado,-12.6,-69.1833,24.08,50,4,1.47,PE,1725243735
346,ta`u,-14.2336,-169.5144,26.11,77,13,2.81,AS,1725243736
347,betioky,-23.7167,44.3833,16.35,81,0,4.65,MG,1725243736
348,san pedro pochutla,15.7333,-96.4667,27.62,86,100,1.4,MX,1725243736
349,champasak,14.75,106.0,25.93,88,98,1.18,LA,1725243736
350,howrah,22.5892,88.3103,30.0,84,40,2.57,IN,1725243736
351,al bardiyah,31.7561,25.0865,25.16,75,0,2.61,LY,1725243736
352,mar del plata,-38.0023,-57.5575,10.07,94,91,4.92,AR,1725243057
353,glace bay,46.1969,-59.957,19.53,95,100,5.14,CA,1725243736
354,sadjoavato,-12.6334,49.349,17.99,76,67,1.28,MG,1725243736
355,kyshtovka,56.555,76.6271,7.39,79,100,4.16,RU,1725243736
356,rongelap,11.1635,166.8941,28.66,69,7,4.11,MH,1725243736
357,machali,-34.1833,-70.6667,15.36,68,100,0.54,CL,1725243736
358,hamilton,39.1834,-84.5333,24.87,70,0,6.69,US,1725243532
359,axim,4.8699,-2.2405,22.86,93,74,2.85,GH,1725243736
360,berezovo,63.9381,65.0419,9.69,81,100,4.43,RU,1725243737
361,camapua,-19.5314,-54.0439,24.96,31,99,3.36,BR,1725243737
362,chui,-33.6971,-53.4616,12.98,91,100,4.07,UY,1725243697
363,paita,-5.0892,-81.1144,17.15,84,3,6.37,PE,1725243737
